"","beta","lnlike_t1","lnlike_t2","lnlike_t3","lnlike_t4"
"154",0.00154,-4008267.65842267,-400397.25188808,-635114.997735353,-5163897.91311524
"155",0.00155,-4015130.84199911,-400002.271863933,-634835.136043043,-5159881.15856922
"156",0.00156,-4021887.69413112,-399608.462033534,-634556.103365256,-5155867.89204048
"157",0.00157,-4028540.06878519,-399215.862392477,-634277.845945236,-5151873.45815297
"158",0.00158,-4035090.50213505,-398824.462257856,-634000.356920182,-5147883.48867624
"159",0.00159,-4041541.45029896,-398434.192324758,-633723.683500661,-5143925.22597586
"160",0.0016,-4047894.67095918,-398045.090723782,-633447.889587774,-5139965.96956737
"161",0.00161,-4054152.72184018,-397657.154561204,-633172.753882996,-5136014.74471648
"162",0.00162,-4060317.29568183,-397270.410637821,-632898.440873623,-5132092.38832091
"163",0.00163,-4066390.2306715,-396884.736058118,-632624.938693862,-5128164.85376671
"164",0.00164,-4072374.12692473,-396500.213396269,-632352.189088796,-5124261.82287497
"165",0.00165,-4078270.24572256,-396116.735607566,-632080.162238561,-5120366.01528699
"166",0.00166,-4084081.37550506,-395734.490276702,-631808.892912279,-5116488.61302629
"167",0.00167,-4089808.01743036,-395353.303692788,-631538.356722518,-5112615.10401452
"168",0.00168,-4095452.08499857,-394973.245322933,-631268.61464394,-5108761.58569452
"169",0.00169,-4101016.77464577,-394594.120086447,-630999.604234629,-5104925.42688164
"170",0.0017,-4106502.1998996,-394216.198792232,-630731.248567155,-5101085.52946635
"171",0.00171,-4111910.9634047,-393839.351896465,-630463.693115317,-5097258.27410929
"172",0.00172,-4117243.69347702,-393463.457865492,-630196.827775998,-5093442.37068538
"173",0.00173,-4122502.40538271,-393088.779557265,-629930.703764048,-5089647.54845477
"174",0.00174,-4127688.77792844,-392714.988997928,-629665.266488016,-5085852.66654891
"175",0.00175,-4132804.07018096,-392342.310747528,-629400.513681058,-5082076.93721582
"176",0.00176,-4137849.97926068,-391970.679572053,-629136.46950499,-5078311.58723116
"177",0.00177,-4142827.38352927,-391600.027739319,-628873.170593344,-5074554.18953271
"178",0.00178,-4147738.02375461,-391230.38888263,-628610.486334935,-5070818.85348827
"179",0.00179,-4152583.30976318,-390861.740960038,-628348.548334382,-5067083.24730553
"180",0.0018,-4157364.43294016,-390494.126675203,-628087.310197019,-5063353.23568594
"181",0.00181,-4162082.84299787,-390127.426968482,-627826.664728818,-5059652.384284
"182",0.00182,-4166739.2687326,-389761.703312033,-627566.756658935,-5055938.37478471
"183",0.00183,-4171335.28671966,-389397.069872097,-627307.453548786,-5052246.83604381
"184",0.00184,-4175871.81925376,-389033.403272835,-627048.880942546,-5048569.72677257
"185",0.00185,-4180350.29518162,-388670.693543143,-626790.955292769,-5044897.41881954
"186",0.00186,-4184771.83763144,-388308.780678256,-626533.64933547,-5041246.77869926
"187",0.00187,-4189137.26149641,-387947.978684141,-626277.041130672,-5037589.12027394
"188",0.00188,-4193447.97610959,-387588.111347316,-626021.028427761,-5033958.1588036
"189",0.00189,-4197704.93014217,-387229.095767012,-625765.723240149,-5030324.40750671
"190",0.0019,-4201908.78416008,-386871.045191964,-625511.015371372,-5026699.02737752
"191",0.00191,-4206061.47318056,-386513.943370711,-625256.916533543,-5023098.76752739
"192",0.00192,-4210163.18285912,-386157.679106538,-625003.512622323,-5019499.84943483
"193",0.00193,-4214214.93099619,-385802.437718688,-624750.749142455,-5015910.34706827
"194",0.00194,-4218217.61320351,-385448.106503635,-624498.511047785,-5012330.33625932
"195",0.00195,-4222171.51248759,-385094.558697285,-624246.933783028,-5008747.10120893
"196",0.00196,-4226079.59600131,-384741.973666644,-623995.955385584,-5005188.98925965
"197",0.00197,-4229942.4223058,-384390.225448855,-623745.606597089,-5001633.51676812
"198",0.00198,-4233758.64714191,-384039.391467452,-623495.839756735,-4998087.57388834
"199",0.00199,-4237530.70223909,-383689.508136997,-623246.671913186,-4994553.04498121
"200",0.002,-4241257.86417314,-383340.280570012,-622998.18759082,-4991033.29672214
