sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
12,35,29795.256308806616,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,36,43148.280094202906,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,37,64906.749353559426,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,38,99477.93769836433,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,39,149245.16995619415,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,40,212777.2130132992,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,41,278943.255920139,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,42,325975.3400366352,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,43,334493.52254444105,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,44,303397.4641896172,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,45,249838.17311436142,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,46,193796.89043831627,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,47,147140.44444264696,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,48,112995.64164390115,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,49,90114.92155861501,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,50,76050.29982332313,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,51,68683.54771549621,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,52,66652.41845072838,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,1,69328.8507311639,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,2,76659.79343969822,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,3,88941.76152485186,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,4,106435.9385069381,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,5,128735.10135328905,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,6,153927.90545828568,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,7,178020.55213532728,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,8,195483.3945560701,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,9,201371.2248513597,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,10,193907.17138948885,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,11,175403.5946491398,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,12,150748.28115685598,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,13,124920.57486153027,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,14,101357.08615843377,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,15,81661.49328436257,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,16,66101.45159140232,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,17,54243.661044105815,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,18,45415.49256871756,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,19,38953.703081636646,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,20,34304.40780474869,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,21,3352.7027348050387,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,22,2778.4343153552304,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,23,2263.354471447867,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,24,1833.2864302598275,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,25,1483.8056301345523,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,26,1205.449129283603,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
