survey	contact_type	part_age	cont_age	m_est
April 2020	household	[40,50)	[40,50)	0.533445646199654
April 2020	household	[40,50)	[50,60)	0.13636720281143835
April 2020	household	[40,50)	[60,70)	0.01949932690877924
April 2020	household	[40,50)	[70,80)	0.005468770509371897
April 2020	household	[40,50)	[80,Inf]	9.194372923017456e-4
April 2020	household	[50,60)	[0,10)	0.06653634242402647
April 2020	household	[50,60)	[10,20)	0.463175795894706
April 2020	household	[50,60)	[20,30)	0.3858653212492048
April 2020	household	[50,60)	[30,40)	0.032341128762990196
April 2020	household	[50,60)	[40,50)	0.12292203423938322
April 2020	household	[50,60)	[50,60)	0.5887223839695779
April 2020	household	[50,60)	[60,70)	0.12694155086699394
April 2020	household	[50,60)	[70,80)	0.01470517378140826
April 2020	household	[50,60)	[80,Inf]	0.0015601200776254524
April 2020	household	[60,70)	[0,10)	0.03143349423342411
April 2020	household	[60,70)	[10,20)	0.03511701117173227
April 2020	household	[60,70)	[20,30)	0.11714744250331888
April 2020	household	[60,70)	[30,40)	0.03477610619360458
April 2020	household	[60,70)	[40,50)	0.021096390124720275
April 2020	household	[60,70)	[50,60)	0.152358369594472
April 2020	household	[60,70)	[60,70)	0.589366078178158
April 2020	household	[60,70)	[70,80)	0.1404665724330637
April 2020	household	[60,70)	[80,Inf]	0.011444376515326664
April 2020	household	[70,80)	[0,10)	0.022200556740778934
April 2020	household	[70,80)	[10,20)	0.005971996850577063
April 2020	household	[70,80)	[20,30)	0.008570165643573843
April 2020	household	[70,80)	[30,40)	0.010985126718652784
April 2020	household	[70,80)	[40,50)	0.008123871139876301
April 2020	household	[70,80)	[50,60)	0.024233488240282736
April 2020	household	[70,80)	[60,70)	0.1928639031323784
April 2020	household	[70,80)	[70,80)	0.6314020436168919
April 2020	household	[70,80)	[80,Inf]	0.10391343223921738
April 2020	household	[80,Inf]	[0,10)	0.016688546028153197
April 2020	household	[80,Inf]	[10,20)	0.0017496189525474176
April 2020	household	[80,Inf]	[20,30)	7.812878237005301e-4
April 2020	household	[80,Inf]	[30,40)	0.0011044209034897607
April 2020	household	[80,Inf]	[40,50)	0.0026025061094382524
April 2020	household	[80,Inf]	[50,60)	0.004898963941030508
April 2020	household	[80,Inf]	[60,70)	0.029941372723390505
April 2020	household	[80,Inf]	[70,80)	0.19801041257044205
April 2020	household	[80,Inf]	[80,Inf]	0.39351976722025556
June 2020	all	[0,10)	[0,10)	14.11103296671896
June 2020	all	[0,10)	[10,20)	2.4344310380816516
June 2020	all	[0,10)	[20,30)	1.3885598328136088
June 2020	all	[0,10)	[30,40)	2.149081684306673
June 2020	all	[0,10)	[40,50)	1.9137350151224575
June 2020	all	[0,10)	[50,60)	0.8813085969135966
June 2020	all	[0,10)	[60,70)	0.5075850374103009
June 2020	all	[0,10)	[70,80)	0.18301164097076672
June 2020	all	[0,10)	[80,Inf]	0.05136952898488936
June 2020	all	[10,20)	[0,10)	2.1619060851696887
June 2020	all	[10,20)	[10,20)	7.396433480589875
June 2020	all	[10,20)	[20,30)	1.842986021784576
